dimension,score_level,score_range,description,criteria,examples
fluency,excellent,9.0-10.0,"Exceptional naturalness and coherence with sophisticated vocabulary and complex sentence structures","Natural rhythm, varied sentence types, advanced vocabulary, seamless idea flow, native-like expression","Uses complex grammatical structures accurately, demonstrates sophisticated vocabulary range, maintains coherent argument throughout"
fluency,very_good,8.0-8.9,"High level of naturalness with good vocabulary range and sentence variety","Good rhythm, some sentence variety, appropriate vocabulary, clear idea progression","Uses a range of grammatical structures with flexibility, demonstrates good vocabulary control, maintains clear progression of ideas"
fluency,good,7.0-7.9,"Generally natural expression with adequate vocabulary and some sentence variety","Adequate rhythm, basic sentence variety, suitable vocabulary, logical idea sequence","Uses a mix of simple and complex sentences, demonstrates adequate vocabulary for the task, shows logical organization"
fluency,satisfactory,6.0-6.9,"Acceptable naturalness with limited vocabulary range and simple sentence structures","Basic rhythm, limited variety, simple vocabulary, clear but basic idea flow","Uses mainly simple sentences with some attempts at complexity, demonstrates limited but adequate vocabulary"
fluency,needs_improvement,5.0-5.9,"Somewhat unnatural expression with restricted vocabulary and repetitive structures","Awkward rhythm, repetitive patterns, basic vocabulary, unclear idea connections","Uses predominantly simple sentences, demonstrates restricted vocabulary, shows some unclear connections between ideas"
fluency,poor,4.0-4.9,"Unnatural expression with very limited vocabulary and basic sentence structures","Poor rhythm, monotonous patterns, inadequate vocabulary, confused idea flow","Uses only simple sentences, demonstrates very limited vocabulary, shows confused organization of ideas"
fluency,very_poor,0.0-3.9,"Highly unnatural expression with minimal vocabulary and fragmented structures","No rhythm, fragmented expression, minimal vocabulary, incoherent ideas","Uses fragmented sentences, demonstrates minimal vocabulary, shows incoherent organization"
correctness,excellent,9.0-10.0,"Virtually error-free with perfect grammar, mechanics, and standard English usage","No grammatical errors, perfect punctuation and spelling, flawless mechanics","Demonstrates complete control of grammatical structures, uses punctuation accurately, shows perfect spelling"
correctness,very_good,8.0-8.9,"Very few errors that do not impede communication","Rare grammatical errors, minor punctuation issues, excellent mechanics overall","Shows good control of grammatical structures with occasional minor errors, uses punctuation well with rare mistakes"
correctness,good,7.0-7.9,"Some errors present but communication remains clear","Few grammatical errors, some punctuation mistakes, good mechanics generally","Shows adequate control of grammatical structures, uses punctuation adequately with some errors"
correctness,satisfactory,6.0-6.9,"Moderate number of errors that occasionally impede communication","Several grammatical errors, punctuation issues, adequate mechanics","Shows limited control of grammatical structures, uses punctuation with some difficulty"
correctness,needs_improvement,5.0-5.9,"Frequent errors that sometimes impede communication","Many grammatical errors, frequent punctuation mistakes, poor mechanics","Shows poor control of grammatical structures, uses punctuation inadequately"
correctness,poor,4.0-4.9,"Numerous errors that often impede communication","Frequent grammatical errors, consistent punctuation problems, very poor mechanics","Shows very poor control of grammatical structures, uses punctuation poorly"
correctness,very_poor,0.0-3.9,"Pervasive errors that severely impede communication","Constant grammatical errors, no punctuation control, extremely poor mechanics","Shows no control of grammatical structures, cannot use punctuation effectively"
composite,excellent,9.0-10.0,"Outstanding overall writing quality with excellent fluency and correctness","Combines exceptional naturalness with virtually error-free accuracy","Demonstrates both sophisticated expression and perfect grammatical control"
composite,very_good,8.0-8.9,"Very good overall writing quality with strong fluency and few errors","Combines high naturalness with very good accuracy","Shows both natural expression and strong grammatical control"
composite,good,7.0-7.9,"Good overall writing quality with adequate fluency and acceptable correctness","Combines reasonable naturalness with acceptable accuracy","Demonstrates adequate expression with reasonable grammatical control"
composite,satisfactory,6.0-6.9,"Satisfactory overall writing quality with basic fluency and moderate correctness","Combines basic naturalness with limited accuracy","Shows basic expression with limited grammatical control"
composite,needs_improvement,5.0-5.9,"Below average writing quality with limited fluency and frequent errors","Combines poor naturalness with poor accuracy","Demonstrates limited expression with poor grammatical control"
composite,poor,4.0-4.9,"Poor overall writing quality with unnatural expression and numerous errors","Combines very poor naturalness with very poor accuracy","Shows poor expression with very poor grammatical control"
composite,very_poor,0.0-3.9,"Very poor overall writing quality with fragmented expression and pervasive errors","Combines extremely poor naturalness with no accuracy","Demonstrates fragmented expression with no grammatical control"